Gene,0,1,2,3
1007_s_at,0.0018623522,0.0056558303,0.0025669413,0.0024594245
1053_at,0.0020148787,0.0039964668,0.0027248187,-0.0032182056
117_at,-0.0012159036,0.00048155957,-0.003775382,-0.0031500508
121_at,0.0024456251,0.0016698178,0.00016709865,-0.006869608
1255_g_at,0.0016584896,0.0063235904,-0.004071962,-0.005398765
1294_at,0.0031511749,-0.00032359757,0.0033780586,0.0035632614
1316_at,0.0017621766,-0.0004854065,-0.0060295314,-0.009230475
1320_at,0.002016318,0.0027640685,0.0064704116,0.0058468673
1405_i_at,0.008996349,-0.0034823185,-0.0056181657,0.0005402866
1431_at,0.0027331673,0.003285419,-0.0063037314,-0.003832586
1438_at,0.001011541,0.003973319,0.0023178754,1.6639748e-05
1487_at,-0.003948324,0.00019297114,0.003120821,-0.005983326
1494_f_at,0.006891597,0.0030199746,-0.0012996844,-0.0005688911
1552256_a_at,0.0050361194,0.002227201,0.00027247486,-0.0053908518
1552257_a_at,0.004219737,0.0011465162,0.0018672708,-0.00094149204
1552258_at,0.0038178097,0.0035530133,0.0064416467,-0.0054585715
1552261_at,0.00028808997,0.00067269505,0.0010128042,0.004004139
1552263_at,0.0067257234,-0.0036401239,0.0043914597,-0.0028866408
1552264_a_at,0.0048560826,0.001218612,-0.00909819,0.0018167724
1552266_at,0.0055946945,0.0040227394,-0.00075350975,-0.0026968357
1552269_at,0.0009065421,0.0025789507,-0.0024914774,0.006117554
1552271_at,-0.0017725296,-0.00033887057,-0.0032986451,-0.00431706
1552272_a_at,0.0015828902,0.0054692067,0.0071686935,0.0005165383
1552274_at,-0.00696555,-0.0064298115,-0.0066666543,-0.004313629
1552275_s_at,0.004777344,-0.0013830543,-0.003938591,0.0011307292
1552276_a_at,0.0030884962,-0.0030374804,0.0071130088,-0.0035608017
1552277_a_at,-0.000856762,-0.0053631426,-0.004321332,-0.0006573411
1552278_a_at,-0.006254233,-0.004940734,0.0022825906,0.001602657
1552279_a_at,-0.0008133449,0.0066377083,-0.00089641695,0.0037052904
1552280_at,0.0012945456,-0.004634337,0.00467767,0.0020154198
1552281_at,0.0027085424,0.0018429423,0.00058538554,-0.0046166596
1552283_s_at,-0.005692785,0.0007046992,0.0040756124,0.0033466949
1552286_at,0.005321303,0.007525171,0.0038190428,-0.0037173778
1552287_s_at,0.0038804405,-0.008555632,-0.007838955,0.0026544046
1552288_at,0.0042802533,-0.0046681296,0.007692568,-0.006139774
1552289_a_at,0.007851701,0.00408764,-0.005174992,0.005754051
1552291_at,0.00024766615,0.005762774,0.0053757317,0.0014487115
1552293_at,-0.0040090634,0.000571702,0.0026455843,-0.0058259116
1552295_a_at,-0.0007219766,-0.0030908873,-0.0062070927,-0.002328509
1552296_at,0.00011474276,0.0055599315,-0.00364767,-0.0024602143
1552299_at,0.0036583783,0.0006659819,0.0036837724,-0.0006738615
1552301_a_at,-0.0011346005,0.0046577356,0.0043600136,0.00045212067
