Gene,IN,NN,PN,PP
1007_s_at,0.00589035,-0.004837552,-0.0013005084,-0.000452551
1053_at,-0.007602805,0.005711911,-0.0018757646,-0.0006829878
117_at,-0.0010653846,-0.0025472734,0.0037045693,-0.0036799267
121_at,0.002774222,0.0039057997,-0.0023620743,-0.0072453152
1255_g_at,-0.006934371,-0.0040508322,0.005049397,0.00025714454
1294_at,0.0067440183,-0.0054684924,-0.00015406341,-0.0066040303
1316_at,-0.0024268497,-0.004966638,-9.979849e-05,-0.0028327906
1320_at,-0.004383212,-0.000994982,-0.00832317,0.0017597488
1405_i_at,-0.001198022,0.0063318633,-0.0018514228,0.0070713568
1431_at,-0.0064592403,0.005903008,-0.004912322,0.005083225
1438_at,0.00030683706,0.007862553,0.004329876,0.005794763
1487_at,-0.0032910241,-0.0033060801,0.0049416083,0.00021791847
1494_f_at,1.881014e-05,0.008203157,0.0027861753,-0.0024482398
1552256_a_at,0.0022553327,0.0042603165,-0.0053835395,-0.005008011
1552257_a_at,-0.0020918075,0.00548325,0.0031777334,-0.0031385026
1552258_at,-0.006453602,-0.0053455466,-0.00051546184,-0.0017612597
1552261_at,-0.0022657553,-0.005821266,-0.00676281,-0.0011782906
1552263_at,0.0030581993,0.0039865286,-0.00023084435,0.0009877083
1552264_a_at,0.00096436805,-0.0009518618,-0.0032649732,-0.006223874
1552266_at,-0.00041898788,0.0068800165,-0.00077049335,0.0021247186
1552269_at,0.0020848853,0.0037706732,-0.00086463627,-0.006479745
1552271_at,0.0009702894,0.004352883,0.0007525644,-0.006917484
1552272_a_at,0.0006589086,0.0015378132,-0.00030599485,0.0008959295
1552274_at,0.005065098,0.0077542365,-0.0006800017,-0.007731229
1552275_s_at,-0.004373615,0.0017874916,-0.0008092591,0.001874801
1552276_a_at,-0.0045615304,-8.266871e-05,0.0009017946,0.00038958955
1552277_a_at,0.0005311448,-0.0024587177,0.004142799,-0.0028014036
1552278_a_at,-0.0050259223,-0.005487475,0.006978733,-0.0055575194
1552279_a_at,0.002221534,-0.002568185,0.005325617,-0.003482656
1552280_at,0.0043545063,-0.0014130285,-0.00055356964,-0.0059872256
1552281_at,-0.0043317564,-0.0061934353,-0.00052831194,0.005531648
1552283_s_at,0.0042961906,0.0054463227,0.0077205077,-0.0016719456
1552286_at,0.0010147566,-8.34277e-05,0.0050661294,-0.00805157
1552287_s_at,-0.0037112727,0.0016019222,0.0011084045,0.0067834184
1552288_at,0.002283095,0.0038801963,0.001186298,0.0037976168
1552289_a_at,-0.00065753766,0.0043007303,0.0057262746,-0.0061147525
1552291_at,0.0039100265,0.0029778678,-0.00033013368,0.0060880994
1552293_at,-0.0012931722,0.0064173136,0.0018576824,-0.0063369055
1552295_a_at,0.0031437417,-0.005283612,0.005197736,0.00321814
1552296_at,0.0035078127,0.0072532254,-0.0012215776,-0.0033677456
1552299_at,0.0024805383,0.0061889873,0.0037808425,-0.0045930846
1552301_a_at,-0.0016702259,0.0059739086,0.004385879,-0.0026945132
1552302_at,0.0034246668,-0.0038398881,0.0056240745,-0.0054123616
1552303_a_at,0.002953292,-0.003897371,-0.0035082505,0.00015043347
1552304_at,-0.0003287249,-0.004308569,0.0004899903,-0.003875252
1552306_at,0.0072482596,-0.0068944916,0.005215148,-0.0048475754
1552307_a_at,-0.0030502263,-0.006562251,0.0028127423,-0.0018831035
1552309_a_at,-0.0041389684,0.0007507606,0.0013537604,-0.0022569674
1552310_at,0.0005178017,0.0022489578,-0.00082036486,-0.0044761267
1552311_a_at,-0.006031193,0.00096567447,0.005799159,0.004019667
1552312_a_at,-0.0054035904,0.0033719013,-0.006468265,-0.00043689873
1552314_a_at,-0.0033084336,-0.0004329696,0.0054173577,0.0022986513
1552315_at,-0.0028816003,6.4092514e-05,0.0032662235,0.0024250096
1552316_a_at,0.004028673,-0.0057986826,-0.0033188807,0.0010770401
1552318_at,-0.0063542984,-0.0052976096,-0.0054503796,-0.0052609993
1552319_a_at,-0.0068442356,0.0012758916,-0.0009223869,0.0034016864
1552320_a_at,0.0026168695,0.0015798872,0.0032477456,0.006992359
1552321_a_at,0.005386578,0.007551607,0.0009369143,0.0033715472
1552322_at,0.0052894126,-0.001676175,-0.0007644928,0.0027733545
1552323_s_at,0.0030145796,0.004818729,-0.0046508815,0.0059987996
1552325_at,0.0071729813,-0.0010022827,0.0058298437,-0.005457793
1552326_a_at,0.007605914,0.0065098414,-0.004656627,-0.00033302812
1552327_at,0.0015705919,-0.0050238348,0.0003955799,0.006391605
1552329_at,0.0061375317,0.007867498,0.0013087697,0.003958736
1552330_at,0.0040376442,0.003133572,-0.0030556244,0.007188701
1552332_at,0.0009968599,-0.00057575526,0.0016082599,-0.0074476535
1552334_at,-0.0039258413,-0.0023253022,0.0013117181,-0.0039385543
1552335_at,8.882149e-06,0.0021851903,0.0032365422,0.00080837106
1552337_s_at,-0.0034943842,-0.0078192325,-0.006879536,-0.0027471075
1552338_at,0.006675154,0.0013873094,-0.0009422495,0.003689489
1552340_at,0.0023512791,-0.0005222805,-0.005964493,-0.006103217
1552343_s_at,-0.0016315234,-0.0046484093,0.0016431825,0.000637471
1552344_s_at,0.000970488,-0.0070003066,0.00045244594,0.0027024886
1552347_at,-0.003548046,0.0033972366,0.0065220664,0.00089869666
1552348_at,0.00068947475,-0.0041862293,-0.0018069256,0.00019436004
1552349_a_at,-0.0046028756,0.0017434729,-0.0025650775,0.0010467579
1552354_at,-0.0023799709,-0.0047135088,-0.0038350904,-0.0022535108
1552355_s_at,-0.0029959788,0.0065782764,0.005492289,-0.0039725434
1552359_at,0.00086534437,0.0041683814,0.0041177417,-0.0024934886
1552360_a_at,0.004692151,0.0037998455,-0.0067643085,0.0015008758
1552362_a_at,0.0016998338,0.004429406,0.004065226,-0.00028589266
1552364_s_at,-0.0035869856,0.0027518745,0.0015897244,5.6603705e-05
1552365_at,-0.007026079,0.005459664,0.010475196,-0.007887109
1552367_a_at,-0.002557513,0.0026212423,-0.0037689605,-0.0049398206
1552368_at,-0.00018132888,-0.0063818395,0.0033522225,0.0061757
1552370_at,-0.005701692,0.005207504,0.0043513924,-0.0030767831
1552372_at,0.003890586,-0.006078287,0.0007099048,0.002789672
1552373_s_at,-0.0009884881,-0.00020748255,-0.0063994555,0.0009463377
1552375_at,0.0038378993,-0.0056116674,0.006534214,-0.0045783347
1552377_s_at,0.0016312498,0.0041629137,0.0068763667,0.0027720516
1552378_s_at,-0.0038143957,0.00095489685,-0.00462001,-0.0059828064
1552379_at,-0.0035347985,-0.005245442,0.005072263,-0.0011302014
1552381_at,-0.0022418604,0.0068919067,-0.0026964894,0.0040962696
1552383_at,0.0017709093,-0.00062513654,0.0033009795,-0.0031382514
1552384_a_at,0.0044117873,0.008127805,0.0043654204,-0.0021957583
1552386_at,0.00038182174,-0.0029278554,-0.005118775,0.001547764
1552388_at,-0.0023262277,0.0013577985,0.0017588658,-0.00388614
1552389_at,0.00457046,0.0016744091,-0.004054141,-0.0017355436
1552390_a_at,0.005560071,-0.0075409696,0.0008657894,0.007625091
1552391_at,-0.0049209255,-0.0055453125,-0.00396299,-0.0035539528
1552393_at,0.0074263355,0.0023513546,-0.0023231418,0.00544525
1552394_a_at,-0.0034573197,0.0031065117,0.0007454855,-0.0032295543
1552395_at,-0.0020248466,0.0050680623,0.005597535,-0.0066096312
1552396_at,0.00059216924,-0.0057600164,0.004973131,0.00048417973
1552398_a_at,0.005052943,0.0059743826,0.0016427503,0.007578189
1552399_a_at,-0.0039464794,-0.006731352,3.369675e-06,-0.0043901904
1552400_a_at,0.0042305896,0.0070639094,0.0012910755,0.0001756776
1552401_a_at,-0.004283359,-0.0071379854,-0.00077303994,0.0046941657
1552402_at,0.0038874284,0.0008134819,0.0072901095,0.0029270365
1552405_at,0.0065109795,0.0028185735,0.0055031115,-0.002034193
1552408_at,0.0015668985,-0.001985845,0.005321504,0.000825829
1552409_a_at,0.005305356,0.0023650513,-0.0067259707,-0.0045352113
1552410_at,0.0009983768,-0.00378034,-0.002651338,-0.0075022983
1552411_at,0.00070530555,0.0029242157,0.004588201,0.00019317857
1552412_a_at,0.0067355246,-0.0044508716,-0.0063219154,0.0055004624
1552414_at,-0.0013076293,-0.002215282,-0.0009100473,0.0033313127
1552415_a_at,-0.0034697345,-0.004847409,0.0040780874,0.0026774926
1552417_a_at,0.0010338314,0.002369305,-0.006999208,-0.0007505532
1552418_at,-0.0013174531,0.0026486584,0.0027574243,0.0012405424
1552419_s_at,0.008242856,0.006263515,0.006888568,-0.004116735
1552421_a_at,0.0034878016,0.005694012,-0.0029910759,-0.005731316
1552422_at,-0.0064037465,0.006003223,0.002222428,-0.00069151405
1552423_at,0.0039853565,-0.0004857325,0.0033405446,-0.0026057377
1552424_at,-0.006800689,0.003852687,-0.006394038,0.0018144369
1552425_a_at,0.003576818,-0.0013459777,0.0062466017,0.0045428798
1552426_a_at,0.0018167432,-0.004059673,0.0022510192,0.004878411
1552427_at,-0.0055779973,-0.0054633506,0.0014064389,0.0033878242
1552430_at,0.00023687171,0.005910878,-0.0035293233,-0.005741055
1552432_at,0.0036553638,0.008665581,0.0035095045,-0.0040881336
1552436_a_at,0.005172611,-0.001369253,0.006992253,-0.004339004
1552438_a_at,0.007576236,-0.00708499,-0.0009374028,-0.0058317515
1552439_s_at,0.007737911,0.0019951249,0.00010039648,-0.0015108321
1552440_at,-0.004660719,-0.0031793632,0.0044637755,-0.005486362
1552445_a_at,-0.004248867,-0.006804191,-0.0015195553,-0.0009344724
1552448_a_at,-0.0067997044,0.0012899422,-0.00043285245,-0.0025896681
1552449_a_at,0.0061972034,0.00035630702,0.000719471,0.005459279
1552450_a_at,1.9860183e-05,0.0071591767,-0.0050167125,0.006759655
1552452_at,0.0013110241,0.0073031364,-0.0017167137,0.0023472176
1552453_a_at,-0.0024271014,0.0058280895,-0.0022669784,0.0075433548
1552455_at,0.0040925355,-0.0053597405,0.00024995062,0.0022201748
1552456_a_at,-0.0046088845,0.0016283878,0.0013994355,-0.004987478
1552457_a_at,-0.005926058,0.0030195347,-0.0013242655,-0.0017262425
1552458_at,-0.0044015595,-0.0061144647,0.004085283,0.007732909
1552459_a_at,0.0059695723,-0.0048452863,-0.0026407556,-0.0025559368
1552461_at,-0.003611704,0.0056423643,0.0025942111,0.0016244812
1552463_at,-0.0012489182,-0.005079877,0.0007761012,0.0008734668
1552466_x_at,-0.0054985415,0.0036141663,0.004872816,0.0039980826
1552467_at,-0.0013754724,-0.0051944116,-0.006573852,-0.0008428322
1552468_a_at,-7.981206e-05,-0.001809845,-0.0038835532,0.0064360783
1552470_a_at,0.0026814104,0.0047798557,-0.0012978272,-0.00045956756
1552472_a_at,0.005147678,0.0042091487,0.0008247104,0.0021153246
1552473_at,0.0044039916,-0.0035806412,0.0070342235,0.0012072577
1552474_a_at,-0.000736826,-0.0052028615,0.0009911837,-0.003961603
1552476_s_at,0.001318777,-0.0026191408,-0.005774161,-0.006351754
1552477_a_at,-0.0048827054,-0.0050710924,-0.0076673124,0.003508847
1552478_a_at,-0.0039168242,-0.0023061275,-0.0032266527,0.0068726917
1552480_s_at,-0.0022094422,-0.0028357822,0.0046625133,-0.0032966393
1552481_s_at,-0.007214122,0.0012728604,0.003528684,-0.0012166933
1552482_at,-0.0030772567,0.003007528,-0.0032738885,0.005272024
1552484_at,0.00029925312,0.0047991304,-0.0052611628,0.00016277864
1552485_at,0.0072731157,0.0031925668,-0.0053398707,-0.002982923
1552486_s_at,0.0026697037,-0.0015471503,-0.009462214,0.0076731495
1552487_a_at,-0.002912675,-0.004864513,-0.0033787778,0.004480325
1552489_s_at,-0.0042007254,0.0043944437,0.0073554125,0.0018336421
1552490_at,-0.0051147277,0.00067270815,0.0021157505,-0.0028390735
1552491_at,-0.00010401194,0.002790423,0.003082233,-0.0015592505
1552493_s_at,0.0004138008,0.004866048,-0.0053280336,0.0027072765
1552494_at,-0.0018617458,0.007879926,-0.00554672,0.0028998929
1552496_a_at,-0.005501126,0.0066307643,1.7288123e-05,-0.0030835741
1552497_a_at,-0.0025394997,9.9382676e-05,0.005363519,0.0024769905
1552498_at,0.0023723408,-0.0049843746,-0.0049730814,-0.005107658
1552499_a_at,0.002873493,-0.0009280422,0.00026829186,0.0042077634
1552501_a_at,0.00292576,0.00074398523,-0.0014648074,-0.0045587043
1552502_s_at,8.141431e-05,-0.004485599,0.0020750742,0.00056525384
1552503_at,-0.005369513,-0.0055584707,0.0072495374,-0.0044963956
1552504_a_at,0.001873569,0.0061248313,-0.006000856,0.006269159
1552506_at,-0.0036274546,-0.0011405264,0.0062127374,-0.0011214619
1552507_at,0.0063343397,-0.002049178,-0.0016199314,0.0017396676
1552508_at,0.00022944884,0.006842064,0.005460825,0.006240574
1552509_a_at,-0.0065544094,-0.0032225898,0.0032113437,0.0016566494
1552510_at,0.0074066306,0.0035206615,0.003670077,0.0043592677
1552511_a_at,0.0030395116,0.00015766884,0.0026263278,-0.006544684
1552514_at,0.008287898,0.0041518784,0.0036363972,0.0071131145
1552515_at,-0.0044109845,0.004572181,-0.0017921537,0.0023746004
1552516_a_at,-0.0022546868,0.00042566136,-0.004113309,-0.0065057636
1552518_s_at,0.006343938,-0.005822508,-0.0007891339,0.008626742
1552519_at,-0.00080307643,-0.004267284,0.0035154908,0.0024953622
1552520_at,-0.0018973198,0.0057536266,0.005085583,0.003594519
1552521_a_at,-0.001410536,0.0007172803,0.006087238,-0.0055598877
1552522_at,-0.005144008,0.008258672,0.0055612824,-0.0047049685
1552523_a_at,0.0024756403,0.0018764741,0.005208534,0.0031367673
1552524_at,-0.006121618,0.0067461072,0.003081896,-0.006883177
1552526_at,-0.0015788903,-0.0059404094,0.0024354747,0.00013661869
1552528_at,0.0052800593,0.0003428539,0.005500029,-0.0032728415
1552531_a_at,-0.006223122,-5.806829e-05,0.0041286084,0.004912048
1552532_a_at,-0.007538927,-0.0028861547,-0.005870669,0.002800248
1552535_at,-0.0026082045,0.0033338158,-0.006974912,0.0073644756
1552536_at,-0.0055094836,0.0042207767,-0.0020198831,-0.0038284757
1552538_a_at,0.005511945,-0.0046071066,-0.001393422,-0.0030742902
1552540_s_at,0.006944282,-0.007339676,0.0011665071,-0.0020157127
1552541_at,0.0048270063,-4.7907546e-05,0.0056655207,0.004721158
1552542_s_at,-0.0014122098,0.002775249,-0.0030636473,-0.0011695251
1552543_a_at,0.003993963,0.0067169243,0.0030252421,-0.0034343959
1552544_at,0.0047047,0.0038755788,0.0030789145,-0.0038748132
1552546_a_at,-0.0025748282,0.0051127234,0.00017507061,0.0070735067
1552548_at,-0.003372299,0.006436618,-0.0052038203,-0.0043187067
1552549_a_at,-0.00714012,-0.0056689656,0.002756621,0.0010868446
1552552_s_at,0.0030861602,-8.378781e-05,-0.0010644065,-0.0036640312
1552553_a_at,0.005175117,0.0038578268,0.0065957378,0.0034764179
1552554_a_at,-0.00576699,0.006882566,-0.0051009674,-0.005264122
1552555_at,-0.00034646472,0.0019992131,0.0061430014,-0.0043881284
1552557_a_at,0.0041592163,0.0028680398,0.008494508,0.004007707
1552558_a_at,0.00031555508,0.0032618404,-0.0036695057,0.0061091976
1552559_a_at,0.0033740974,-0.005052412,-0.0047740242,0.0068465355
1552562_at,-0.0014098544,0.0021859144,-0.003977906,-0.0019738816
1552563_a_at,0.0057104947,-0.003205904,0.0038498617,0.0071000443
1552564_at,-0.0038937903,-0.0049544377,0.0015777667,0.0054529984
1552566_at,-0.007092401,0.0051918775,-0.0013828661,-0.009063303
1552568_at,-0.003923098,-0.0042584077,-0.0021398615,0.0014555557
1552569_a_at,0.007579574,0.0019407768,0.0017656925,-0.0065184985
1552570_at,0.0040282924,0.0017093609,-0.0038469534,0.0018389721
1552572_a_at,0.0017906395,0.001675419,-0.0038796081,0.0023947288
1552573_s_at,0.006010527,0.0052772663,-0.0030428844,-0.0017730324
1552575_a_at,0.00011469465,0.0016724882,0.00491525,-0.001653531
1552576_at,-0.0041592065,0.0039428724,-0.0040188082,-0.006405237
1552578_a_at,-0.0040681083,-0.0050035315,0.0035441446,-0.004958163
1552579_a_at,0.004337969,-0.0017643763,-0.002364752,-0.0063507473
1552580_at,0.0070524267,0.0029643965,-0.0034387368,-0.0016693529
1552582_at,-0.005090723,0.0022660356,0.0017115052,0.00046114426
1552583_s_at,-0.007094079,-0.00652929,0.003426168,-0.0001731151
1552584_at,-0.0008624816,0.0022190786,-0.0028845912,0.00442191
1552585_s_at,-0.0061634127,-0.002454447,0.0026539392,-0.0004019166
1552586_at,-0.0034193445,0.0006049768,-0.006491158,-0.004868361
1552587_at,0.0047082845,0.00029158324,-0.003482783,0.006516758
1552588_a_at,0.0056798994,-0.0019058017,0.0036067758,0.00024347188
1552590_a_at,0.0070747714,-0.004162481,-0.0058766403,-0.0020485625
1552592_at,-0.0039404696,-0.003813242,0.001518907,-0.005353682
1552594_at,0.0066521186,-0.0006241714,0.0073486906,-0.0051263734
1552596_at,0.004028122,0.00066382677,0.004299971,0.005979938
1552598_at,0.004127396,0.007022777,0.0024751334,0.005793974
1552599_at,-0.0063207513,-0.0037097712,0.0021204408,0.007019675
1552602_at,0.0043698368,-0.002760225,-0.006694227,0.003436329
1552604_at,-0.004775463,0.0020003335,-0.0015947915,0.0070836423
1552605_s_at,-0.0052445307,0.0028762629,0.0018899804,-0.0024144046
1552607_at,-0.0040958356,-0.0028538634,0.00018880557,-0.008454152
1552608_at,-0.0010033064,0.0030343165,0.0035458603,-0.0006275315
1552609_s_at,-0.0007189111,0.007090251,-0.0017500545,-0.006074903
1552610_a_at,-0.0022823538,0.0061178193,-0.004245974,0.0014997354
1552611_a_at,-0.003265558,0.0034835755,-0.007308959,-0.0042146784
1552612_at,-0.007532219,-0.0040949066,0.002893719,-0.0038191355
1552613_s_at,0.0012241465,-0.0024108528,0.0067239166,-0.0033396727
1552615_at,0.0040218374,-0.004848794,0.003795053,0.0045087794
1552616_a_at,-0.00051993196,-0.0009844976,0.0068853917,0.0052555357
1552617_a_at,-0.005449535,-0.0009927902,-0.0039570527,-0.0010231308
1552618_at,-3.9680508e-05,0.0034703596,-0.004069442,0.0034909854
1552619_a_at,0.004895802,-0.0010310428,0.0023306573,-0.00026982522
1552620_at,0.00039877518,-0.003340254,-0.003623531,-0.0084616775
1552621_at,-0.0044394615,0.0016189897,0.0020600804,0.003293808
1552622_s_at,-0.0024407941,0.0056288135,-0.0040891822,-0.0028421376
1552623_at,-0.0048663644,-0.0051195193,-0.0025453402,0.007403499
1552625_a_at,0.00085465465,-0.0056651537,-0.008185392,-0.003704007
